CustomerID,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,CLTV
7760-OYPDY,Female,0,0,1,2,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,80.65,144.15,1,5586
9420-LOJKX,Female,0,0,1,15,1,0,Fiber optic,1,1,0,0,1,1,Month-to-month,1,Credit card (automatic),99.1,1426.4,1,2966
7495-OOKFY,Female,1,1,1,8,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Credit card (automatic),80.65,633.3,1,5302
1658-BYGOY,Male,1,0,1,18,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,95.45,1752.55,1,3179
5698-BQJOH,Female,0,0,1,9,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,0,Electronic check,94.4,857.25,1,5571
5919-TMRGD,Female,0,0,1,1,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,79.35,79.35,1,2483
9191-MYQKX,Female,0,1,1,7,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Bank transfer (automatic),75.15,496.9,1,3457
8637-XJIVR,Female,0,0,1,12,1,1,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Electronic check,78.95,927.35,1,5806
0278-YXOOG,Male,0,0,0,5,1,0,0,0,0,0,0,0,0,Month-to-month,0,Mailed check,21.05,113.85,1,2604
4598-XLKNJ,Female,1,1,1,25,1,0,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,98.5,2514.5,1,5337
3192-NQECA,Male,0,1,0,68,1,1,Fiber optic,0,1,1,1,1,1,Two year,1,Bank transfer (automatic),110.0,7611.85,1,5034
0486-HECZI,Male,0,1,1,55,1,1,Fiber optic,1,1,0,0,1,0,Month-to-month,1,Electronic check,96.75,5238.9,1,5154
4846-WHAFZ,Female,1,1,1,37,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,76.5,2868.15,1,2793
5299-RULOA,Female,0,1,1,10,1,1,Fiber optic,1,0,0,0,1,1,Month-to-month,1,Electronic check,100.25,1064.65,1,5998
0404-SWRVG,Male,0,0,1,3,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,74.4,229.55,1,4415
4412-YLTKF,Female,1,0,1,27,1,1,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Electronic check,78.05,2135.5,1,4638
6207-WIOLX,Female,0,1,0,25,0,0,DSL,1,1,1,0,1,1,Month-to-month,1,Credit card (automatic),58.6,1502.65,1,4190
3091-FYHKI,Male,0,0,0,1,0,0,DSL,0,0,0,0,0,1,Month-to-month,1,Electronic check,35.45,35.45,1,2301
2372-HWUHI,Male,0,0,0,2,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,44.35,81.25,1,2570
0390-DCFDQ,Female,1,1,1,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Mailed check,70.45,70.45,1,3964
4080-OGPJL,Female,0,0,0,8,1,1,DSL,1,0,0,1,0,1,Month-to-month,0,Electronic check,71.15,563.65,1,2662
2135-RXIHG,Male,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,45.65,45.65,1,2600
3874-EQOEP,Male,0,0,1,7,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,0,Mailed check,95.0,655.5,1,2786
0867-MKZVY,Female,0,1,1,20,1,1,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Electronic check,82.4,1592.35,1,5719
3376-BMGFE,Female,0,0,1,4,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),70.9,273.0,1,4287
3445-HXXGF,Male,1,1,0,58,0,0,DSL,0,1,1,0,0,1,Month-to-month,1,Electronic check,45.3,2651.2,1,5444
1875-QIVME,Female,0,1,1,2,1,1,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Electronic check,104.4,242.8,1,4690
0691-JVSYA,Female,0,1,0,53,1,0,Fiber optic,0,0,1,0,1,1,One year,1,Bank transfer (automatic),94.85,5000.2,1,4328
2656-FMOKZ,Female,1,0,1,15,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Mailed check,74.45,1145.7,1,5717
2070-FNEXE,Female,1,0,1,7,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),76.45,503.6,1,4419
6317-YPKDH,Female,0,0,0,1,0,0,DSL,0,1,0,0,0,0,Month-to-month,0,Bank transfer (automatic),29.95,29.95,1,4534
9367-WXLCH,Male,0,0,1,8,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,0,Bank transfer (automatic),84.5,662.65,1,2152
1918-ZBFQJ,Female,0,0,1,13,1,0,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Electronic check,79.25,1111.65,1,5142
1024-GUALD,Female,0,1,0,1,0,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,24.8,24.8,1,4851
2472-OVKUP,Male,0,1,1,6,1,0,Fiber optic,0,1,1,0,0,1,Month-to-month,1,Electronic check,91.0,531.0,1,2283
1285-OKIPP,Male,0,0,1,1,1,0,Fiber optic,0,0,0,0,0,1,Month-to-month,0,Electronic check,79.9,79.9,1,3394
7825-ECJRF,Female,0,0,1,19,1,0,Fiber optic,1,0,1,1,1,1,Month-to-month,1,Electronic check,106.6,1934.45,1,3764
7841-TZDMQ,Male,0,0,0,2,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Credit card (automatic),46.0,84.5,1,2667
9408-SSNVZ,Female,0,0,1,4,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,70.15,268.35,1,2227
0742-MOABM,Male,0,1,0,4,1,0,DSL,0,0,0,1,0,0,Month-to-month,0,Mailed check,50.05,179.35,1,3394
2232-DMLXU,Female,0,1,0,1,1,0,DSL,0,0,0,0,1,0,Month-to-month,0,Mailed check,55.2,55.2,1,3638
8937-RDTHP,Male,0,0,1,1,1,0,Fiber optic,1,0,0,0,0,1,Month-to-month,1,Mailed check,84.6,84.6,1,2484
1251-KRREG,Male,0,0,0,2,1,1,DSL,0,1,0,0,0,0,Month-to-month,1,Mailed check,54.4,114.1,1,2556
0094-OIFMO,Female,1,0,1,11,1,0,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,95.0,1120.3,1,5980
9947-OTFQU,Male,1,0,0,15,1,0,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,74.4,1074.3,1,4616
0322-YINQP,Male,0,0,0,1,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Mailed check,48.55,48.55,1,5687
4629-NRXKX,Female,0,1,0,2,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Electronic check,70.4,147.15,1,5687
9514-JDSKI,Male,1,1,0,1,0,0,DSL,0,1,0,0,1,0,Month-to-month,0,Electronic check,40.2,40.2,1,5828
4959-JOSRX,Female,0,1,0,2,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Credit card (automatic),44.6,80.55,1,4884
7273-TEFQD,Male,1,0,0,3,0,0,DSL,0,0,1,0,0,1,Month-to-month,1,Electronic check,41.15,132.2,1,2314
3606-TWKGI,Male,1,0,0,13,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,106.9,1364.3,1,2494
6323-AYBRX,Male,0,0,0,59,1,0,0,0,0,0,0,0,0,Two year,0,Mailed check,19.35,1099.6,1,5084
4385-GZQXV,Female,1,0,0,16,1,0,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,94.45,1511.2,1,3810
6366-ZGQGL,Male,0,0,0,1,0,0,DSL,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),24.8,24.8,1,5087
5940-AHUHD,Male,0,0,0,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Mailed check,70.6,70.6,1,3338
6432-TWQLB,Male,0,1,0,5,1,1,Fiber optic,0,1,0,1,0,0,Month-to-month,1,Electronic check,85.4,401.1,1,3676
4484-GLZOU,Female,0,1,0,52,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,105.05,5624.85,1,4839
9512-UIBFX,Male,0,1,0,18,1,0,Fiber optic,0,0,1,0,1,1,Month-to-month,0,Mailed check,95.15,1779.95,1,4643
5583-SXDAG,Male,0,1,0,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Electronic check,70.0,70.0,1,4094
3488-PGMQJ,Male,1,0,0,8,1,0,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,74.5,606.55,1,4345
3580-REOAC,Male,0,0,0,10,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Credit card (automatic),44.85,435.4,1,4061
7534-BFESC,Male,1,0,0,24,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,76.1,1712.7,1,2018
6390-DSAZX,Female,0,0,0,1,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Mailed check,73.6,73.6,1,2565
8098-LLAZX,Female,1,0,0,4,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,95.45,396.1,1,3677
0265-EDXBD,Male,1,1,0,32,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,74.9,2303.35,1,4105
7563-BIUPC,Male,0,0,0,5,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,80.6,415.55,1,5715
2321-OMBXY,Female,0,1,0,38,1,0,DSL,1,1,0,1,1,1,One year,0,Credit card (automatic),80.3,3058.65,1,2071
2840-XANRC,Male,1,1,0,24,1,0,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,93.15,2231.05,1,2212
5020-ZSTTY,Female,1,0,0,54,1,1,DSL,1,1,0,1,1,1,One year,0,Bank transfer (automatic),82.45,4350.1,1,4149
5804-LEPIM,Female,1,0,0,2,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,70.35,139.05,1,2671
0122-OAHPZ,Female,0,0,0,7,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,73.85,511.25,1,2473
2868-SNELZ,Female,0,0,0,2,1,1,Fiber optic,0,0,1,0,0,0,Month-to-month,0,Mailed check,80.6,155.8,1,2683
4322-RCYMT,Male,0,1,0,68,1,1,DSL,0,1,1,1,0,1,One year,1,Bank transfer (automatic),75.8,5293.95,1,4903
6680-NENYN,Female,0,0,0,43,1,1,Fiber optic,0,1,1,0,1,1,Two year,1,Electronic check,104.6,4759.85,1,5250
1343-EHPYB,Male,0,1,0,63,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,103.4,6603.0,1,4352
2034-GDRCN,Female,0,0,0,2,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,90.4,168.2,1,4157
0219-YTZUE,Male,0,1,0,4,1,1,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Bank transfer (automatic),84.8,371.9,1,4939
0623-IIHUG,Female,1,0,0,21,0,0,DSL,1,0,0,0,1,0,Month-to-month,1,Electronic check,41.9,840.1,1,4778
4572-DVCGN,Female,0,0,0,10,1,0,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Bank transfer (automatic),80.25,846.0,1,3598
9057-MSWCO,Male,1,1,0,27,0,0,DSL,1,0,0,0,0,0,Month-to-month,0,Credit card (automatic),30.75,805.1,1,2927
1010-DIAUQ,Male,0,0,0,5,1,0,Fiber optic,0,0,1,0,1,1,Month-to-month,0,Bank transfer (automatic),96.5,492.55,1,5383
0259-GBZSH,Male,0,0,0,2,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,85.65,181.5,1,3878
9601-BRXPO,Female,0,1,0,25,1,1,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Bank transfer (automatic),104.95,2566.5,1,3642
6905-NIQIN,Male,0,0,0,1,1,0,DSL,0,1,0,0,0,0,Month-to-month,0,Mailed check,50.65,50.65,1,2431
5167-ZFFMM,Male,0,0,0,1,1,1,Fiber optic,0,1,0,0,0,1,Month-to-month,1,Credit card (automatic),90.85,90.85,1,3424
4895-TMWIR,Male,1,1,0,11,1,0,0,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.95,214.75,1,5888
0533-BNWKF,Female,1,1,0,55,1,1,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Electronic check,85.45,4874.7,1,5502
6599-CEBNN,Female,0,0,0,34,1,0,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Credit card (automatic),73.95,2524.45,1,5795
0979-PHULV,Male,0,1,0,69,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Credit card (automatic),99.45,7007.6,1,4020
4800-VHZKI,Female,0,0,0,1,1,0,0,0,0,0,0,0,0,Month-to-month,1,Mailed check,19.9,19.9,1,3351
7989-CHGTL,Male,0,0,0,1,1,0,0,0,0,0,0,0,0,Month-to-month,1,Mailed check,19.6,19.6,1,3448
0334-GDDSO,Male,1,0,0,3,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,81.35,233.7,1,2818
0578-SKVMF,Female,0,1,0,22,1,0,Fiber optic,0,1,0,0,0,1,Month-to-month,0,Electronic check,83.3,1845.9,1,3804
5564-NEMQO,Female,1,0,0,1,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Bank transfer (automatic),75.3,75.3,1,4902
9063-ZGTUY,Female,0,1,0,61,1,0,0,0,0,0,0,0,0,Month-to-month,1,Mailed check,19.4,1182.55,1,4221
2957-LOLHO,Male,0,0,0,12,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),45.4,518.9,1,2887
7752-XUSCI,Female,0,0,0,60,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,105.9,6396.45,1,4105
4110-PFEUZ,Female,0,0,0,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Mailed check,69.55,69.55,1,2792
0256-LTHVJ,Female,0,1,0,28,1,0,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,81.05,2227.1,1,5201
0880-TKATG,Male,0,1,0,4,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,0,Electronic check,101.15,385.9,1,4417
3811-VBYBZ,Male,0,0,0,7,1,1,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,99.8,673.25,1,2031
4640-UHDOS,Female,0,1,0,13,1,0,DSL,0,0,0,0,0,1,Month-to-month,0,Electronic check,55.95,734.35,1,4498
3583-EKAPL,Male,0,0,0,1,1,0,DSL,0,0,0,0,0,1,Month-to-month,1,Electronic check,55.0,55.0,1,4877
9399-APLBT,Female,0,1,0,1,1,0,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,74.7,74.7,1,5980
2359-KMGLI,Male,0,0,0,24,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,80.25,1861.5,1,4418
0306-JAELE,Male,0,0,0,5,1,0,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,96.1,453.4,1,4192
6227-HWPWX,Female,0,0,0,15,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),69.0,994.8,1,5671
0447-BEMNG,Female,0,1,0,48,0,0,DSL,1,0,1,0,0,1,Month-to-month,1,Bank transfer (automatic),45.3,2145.0,1,4926
5949-XIKAE,Female,0,1,0,8,1,0,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Electronic check,83.55,680.05,1,2879
8372-JUXUI,Male,0,0,0,1,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,74.35,74.35,1,2814
0388-EOPEX,Female,0,1,0,2,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Electronic check,74.4,139.4,1,4263
8205-OTCHB,Male,0,0,0,22,0,0,DSL,0,1,1,0,0,1,One year,1,Bank transfer (automatic),43.75,903.6,1,3099
6235-VDHOM,Female,1,0,0,5,0,0,DSL,0,1,0,0,0,0,Month-to-month,0,Electronic check,28.45,131.05,1,4099
7783-YKGDV,Female,0,0,0,12,1,1,Fiber optic,1,1,1,0,0,1,Month-to-month,1,Bank transfer (automatic),99.7,1238.45,1,2538
5609-CEBID,Female,1,0,0,20,1,1,Fiber optic,0,1,1,0,0,1,Month-to-month,1,Electronic check,94.1,1782.4,1,2666
7218-HKQFK,Male,0,1,0,2,1,0,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,94.2,167.5,1,3715
4636-QRJKY,Female,0,1,0,6,1,1,Fiber optic,0,0,0,1,0,0,Month-to-month,1,Electronic check,80.5,502.85,1,5032
5956-VKDTT,Female,1,1,0,5,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,74.35,334.8,1,5273
9412-GHEEC,Male,0,0,0,40,1,1,Fiber optic,0,0,1,1,1,1,Month-to-month,0,Bank transfer (automatic),104.8,4131.95,1,3492
0257-ZESQC,Female,1,1,0,27,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),75.2,1929.35,1,4517
6825-UYPFK,Female,0,0,0,23,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),75.6,1758.6,1,2115
8397-MVTAZ,Male,0,1,0,34,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,100.05,3480.0,1,2568
9282-IZGQK,Female,0,0,0,1,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,85.0,85.0,1,5679
1342-JPNKI,Male,0,0,0,10,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Bank transfer (automatic),86.05,834.1,1,2966
2817-NTQDO,Male,0,0,0,13,0,0,DSL,1,0,0,1,1,0,Month-to-month,1,Credit card (automatic),45.55,597.0,1,4856
6986-IJDHX,Male,0,1,0,39,1,0,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Mailed check,86.3,3266.0,1,3364
5301-GAUUY,Male,0,0,0,32,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Bank transfer (automatic),80.35,2596.15,1,5974
0939-YAPAF,Female,0,0,0,35,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,100.25,3527.6,1,2744
4710-FDUIZ,Male,0,1,0,56,1,1,Fiber optic,0,1,0,0,1,1,One year,0,Credit card (automatic),100.3,5614.45,1,5170
1218-VKFPE,Female,0,1,0,12,1,0,0,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.0,233.55,1,3535
3627-FHKBK,Female,0,0,0,1,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Mailed check,75.3,75.3,1,3244
2865-TCHJW,Female,1,0,0,4,1,1,Fiber optic,0,0,1,0,1,0,Month-to-month,1,Electronic check,89.2,346.2,1,5808
5192-EBGOV,Female,1,0,0,1,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,85.7,85.7,1,4880
0719-SYFRB,Female,0,0,0,12,1,1,DSL,1,0,1,1,0,0,Month-to-month,1,Mailed check,61.65,713.75,1,5670
3419-SNJJD,Female,1,1,0,65,1,1,Fiber optic,1,0,1,0,1,1,Month-to-month,0,Bank transfer (automatic),105.25,6786.4,1,4196
6543-CPZMK,Male,0,1,0,9,0,0,DSL,0,1,0,0,0,0,Month-to-month,1,Electronic check,29.95,248.95,1,2573
4765-OXPPD,Female,0,1,0,9,1,0,DSL,1,1,1,1,0,0,Month-to-month,0,Mailed check,65.0,663.05,1,3983
1009-IRMNA,Female,0,0,0,7,1,0,0,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),20.0,137.6,1,4479
4554-YGZIH,Male,1,1,0,49,1,1,Fiber optic,0,1,0,0,0,1,Month-to-month,0,Credit card (automatic),90.05,4547.25,1,5059
5099-BAILX,Male,1,1,0,43,1,1,Fiber optic,0,1,1,1,1,1,Month-to-month,1,Bank transfer (automatic),110.75,4687.9,1,2728
7207-RMRDB,Female,0,1,0,65,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,105.5,6985.65,1,5720
4913-EHYUI,Male,1,1,0,56,1,1,Fiber optic,1,0,1,0,1,1,One year,1,Bank transfer (automatic),104.55,5794.65,1,6268
0195-IESCP,Male,0,1,0,10,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,85.25,855.3,1,3573
4580-TMHJU,Female,0,1,0,43,1,0,DSL,0,0,0,0,1,0,Month-to-month,0,Electronic check,56.15,2499.3,1,2152
0970-ETWGE,Male,0,0,0,1,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,89.55,89.55,1,4996
1626-ERCMM,Male,1,1,0,20,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,94.55,1899.65,1,5604
0887-HJGAR,Male,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Mailed check,45.7,45.7,1,2295
5644-PDMZC,Female,1,0,0,2,1,1,Fiber optic,0,1,0,0,0,1,Month-to-month,0,Electronic check,89.5,161.5,1,2065
9576-ANLXO,Female,0,0,0,3,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),69.55,222.3,1,2876
2024-BASKD,Female,0,0,0,1,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Mailed check,74.6,74.6,1,3860
4160-AMJTL,Female,1,0,0,8,1,0,0,0,0,0,0,0,0,Month-to-month,0,Electronic check,19.65,164.3,1,5432
4464-JCOLN,Male,0,1,0,2,1,0,0,0,0,0,0,0,0,One year,0,Mailed check,19.85,35.9,1,2362
5650-VDUDS,Female,0,0,0,4,0,0,DSL,0,0,0,0,0,0,Month-to-month,1,Mailed check,24.25,96.05,1,2038
7538-GWHML,Female,0,0,0,2,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Electronic check,69.65,145.15,1,2323
3859-CVCET,Female,0,0,0,4,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Mailed check,45.65,191.05,1,2864
3276-HDUEG,Female,0,0,0,1,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Mailed check,75.05,75.05,1,4838
0823-HSCDJ,Male,1,0,0,52,0,0,DSL,0,1,0,0,1,1,Month-to-month,1,Electronic check,49.15,2550.9,1,5597
0822-GAVAP,Female,0,0,0,2,0,0,DSL,0,0,0,0,0,1,Month-to-month,1,Electronic check,34.7,62.25,1,3146
1448-PWKYE,Male,0,1,0,1,1,0,Fiber optic,0,0,0,0,0,1,Month-to-month,0,Electronic check,80.0,80.0,1,2046
0067-DKWBL,Male,1,0,0,2,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Electronic check,49.25,91.1,1,3475
2276-YDAVZ,Female,0,0,0,3,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Credit card (automatic),75.1,270.7,1,4965
5896-NPFWW,Male,0,1,0,3,1,0,DSL,0,0,1,0,0,0,Month-to-month,1,Electronic check,50.15,168.15,1,3273
7133-VBDCG,Female,0,0,0,25,1,0,Fiber optic,1,1,0,0,0,0,Month-to-month,1,Bank transfer (automatic),79.85,2015.35,1,4535
1029-QFBEN,Male,0,0,0,1,1,0,0,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.55,19.55,1,3556
4952-YSOGZ,Female,0,1,0,4,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,85.95,381.3,1,5640
1589-AGTLK,Male,0,0,0,3,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,45.35,141.5,1,2450
5244-IRFIH,Male,1,1,0,33,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,94.5,3105.55,1,4333
2684-EIWEO,Female,1,0,0,30,1,1,Fiber optic,1,1,1,0,0,0,Month-to-month,0,Credit card (automatic),91.7,2758.15,1,2482
6439-GTPCA,Female,0,0,0,45,1,1,Fiber optic,0,0,1,1,0,0,Month-to-month,1,Electronic check,87.25,3941.7,1,5269
5138-WVKYJ,Male,0,0,0,10,1,1,Fiber optic,1,0,0,0,1,1,Month-to-month,0,Electronic check,98.55,1008.55,1,3658
6683-VLCTZ,Male,1,0,0,20,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,98.55,1842.8,1,5444
2189-WWOEW,Female,0,0,0,15,1,0,Fiber optic,0,1,0,0,0,1,Month-to-month,1,Bank transfer (automatic),85.9,1269.55,1,3579
1894-IGFSG,Female,0,0,0,22,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,0,Electronic check,89.25,1907.85,1,3161
7379-POKDZ,Male,0,1,0,3,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,70.3,208.85,1,3038
0236-HFWSV,Male,0,0,0,15,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,93.35,1444.65,1,5264
3900-AQPHZ,Female,0,0,0,1,1,0,0,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.9,19.9,1,4248
5842-POCOP,Female,0,1,0,5,1,0,Fiber optic,1,0,1,0,0,1,Month-to-month,1,Mailed check,88.9,454.15,1,4356
2037-XJFUP,Male,0,1,0,33,1,0,Fiber optic,0,0,1,0,1,1,One year,1,Electronic check,95.8,3036.75,1,4161
